sno,ObservationDate,Confirmed
13,01/22/2020,444
51,01/23/2020,444
84,01/24/2020,549
125,01/25/2020,761
169,01/26/2020,1058
216,01/27/2020,1423
267,01/28/2020,3554
319,01/29/2020,3554
373,01/30/2020,4903
431,01/31/2020,5806
493,02/01/2020,7153
560,02/02/2020,11177
627,02/03/2020,13522
695,02/04/2020,16678
765,02/05/2020,19665
836,02/06/2020,22112
907,02/07/2020,24953
979,02/08/2020,27100
1051,02/09/2020,29631
1123,02/10/2020,31728
1195,02/11/2020,33366
1268,02/12/2020,33366
1341,02/13/2020,48206
1415,02/14/2020,54406
1490,02/15/2020,56249
1565,02/16/2020,58182
1640,02/17/2020,59989
1715,02/18/2020,61682
1790,02/19/2020,62031
1866,02/20/2020,62442
1942,02/21/2020,62662
2026,02/22/2020,64084
2110,02/23/2020,64084
2195,02/24/2020,64287
2285,02/25/2020,64786
2379,02/26/2020,65187
2480,02/27/2020,65596
2585,02/28/2020,65914
2699,02/29/2020,66337
2818,03/01/2020,66907
2943,03/02/2020,67103
3084,03/03/2020,67217
3235,03/04/2020,67332
3395,03/05/2020,67466
3568,03/06/2020,67592
3767,03/07/2020,67666
3992,03/08/2020,67707
4247,03/09/2020,67743
4513,03/10/2020,67760
4719,03/11/2020,67773
4935,03/12/2020,67781
5153,03/13/2020,67786
5383,03/14/2020,67790
5632,03/15/2020,67794
5890,03/16/2020,67798
6162,03/17/2020,67799
6438,03/18/2020,67800
6722,03/19/2020,67800
7014,03/20/2020,67800
7313,03/21/2020,67800
7826,03/22/2020,67800
8123,03/23/2020,67800
8420,03/24/2020,67801
8723,03/25/2020,67801
9027,03/26/2020,67801


