Date,max
1/22/20,9
1/23/20,8
1/24/20,6
1/25/20,7
1/26/20,6
1/27/20,8
1/28/20,11
1/29/20,14
1/30/20,15
1/31/20,16
2/1/20,14
2/2/20,14
2/3/20,16
2/4/20,17
2/5/20,15
2/6/20,4
2/7/20,11
2/8/20,14
2/9/20,17
2/10/20,15
2/11/20,14
2/12/20,18
2/13/20,20
2/14/20,16
2/15/20,5
2/16/20,12
2/17/20,14
2/18/20,15
2/19/20,18
2/20/20,18
2/21/20,19
2/22/20,20
2/23/20,20
2/24/20,25
2/25/20,22
2/26/20,17
2/27/20,9
2/28/20,11
2/29/20,16
3/1/20,18
3/2/20,8
3/3/20,15
3/4/20,17
3/5/20,16
3/6/20,17
3/7/20,21
3/8/20,15
3/9/20,13
3/10/20,19
3/11/20,19
3/12/20,21
3/13/20,18
3/14/20,22
3/15/20,24
3/16/20,20
3/17/20,25
3/18/20,26
3/19/20,27
3/20/20,29
3/21/20,27
3/22/20,20
3/23/20,24
3/24/20,24
3/25/20,25
3/26/20,22
