Date,min
1/22/20,3
1/23/20,5
1/24/20,2
1/25/20,2
1/26/20,0
1/27/20,-1
1/28/20,0
1/29/20,1
1/30/20,1
1/31/20,3
2/1/20,5
2/2/20,5
2/3/20,1
2/4/20,3
2/5/20,2
2/6/20,0
2/7/20,0
2/8/20,1
2/9/20,4
2/10/20,4
2/11/20,7
2/12/20,7
2/13/20,12
2/14/20,2
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,3
2/19/20,2
2/20/20,9
2/21/20,4
2/22/20,6
2/23/20,10
2/24/20,13
2/25/20,10
2/26/20,8
2/27/20,3
2/28/20,4
2/29/20,6
3/1/20,5
3/2/20,2
3/3/20,3
3/4/20,3
3/5/20,7
3/6/20,6
3/7/20,9
3/8/20,11
3/9/20,5
3/10/20,6
3/11/20,8
3/12/20,9
3/13/20,5
3/14/20,6
3/15/20,12
3/16/20,9
3/17/20,8
3/18/20,12
3/19/20,9
3/20/20,14
3/21/20,16
3/22/20,13
3/23/20,14
3/24/20,15
3/25/20,17
3/26/20,7
